                   EZNEC Pro/2+ ver. 7.0

Cardioid                                     7/5/2023     12:28:50 PM

         --------------- FAR FIELD PATTERN DATA ---------------

Frequency = 299.793 MHz

   Reference = 0 dBi

Elevation Pattern   Azimuth angle = 0 deg.
 Deg      V dB      H dB      Tot dB    V Pha     H Pha
252      -12.74    -99.99    -12.74    -151.93      0.00
253      -13.05    -99.99    -13.05    -151.13      0.00
254      -13.39    -99.99    -13.39    -150.33      0.00
255      -13.78    -99.99    -13.78    -149.53      0.00
256      -14.21    -99.99    -14.21    -148.73      0.00
257      -14.68    -99.99    -14.68    -147.92      0.00
258      -15.21    -99.99    -15.21    -147.12      0.00
259      -15.81    -99.99    -15.81    -146.31      0.00
260      -16.48    -99.99    -16.48    -145.50      0.00
261      -17.24    -99.99    -17.24    -144.69      0.00
262      -18.12    -99.99    -18.12    -143.88      0.00
263      -19.13    -99.99    -19.13    -143.07      0.00
264      -20.33    -99.99    -20.33    -142.26      0.00
265      -21.77    -99.99    -21.77    -141.45      0.00
266      -23.58    -99.99    -23.58    -140.64      0.00
267      -25.94    -99.99    -25.94    -139.82      0.00
268      -29.34    -99.99    -29.34    -139.01      0.00
269      -35.23    -99.99    -35.23    -138.20      0.00
270      -99.99    -99.99    -99.99       0.00      0.00
271      -34.99    -99.99    -34.99      43.42      0.00
272      -28.85    -99.99    -28.85      44.22      0.00
273      -25.21    -99.99    -25.21      45.03      0.00
274      -22.60    -99.99    -22.60      45.83      0.00
275      -20.56    -99.99    -20.56      46.64      0.00
276      -18.87    -99.99    -18.87      47.44      0.00
277      -17.42    -99.99    -17.42      48.23      0.00
278      -16.16    -99.99    -16.16      49.03      0.00
279      -15.04    -99.99    -15.04      49.82      0.00
280      -14.03    -99.99    -14.03      50.61      0.00
281      -13.11    -99.99    -13.11      51.40      0.00
282      -12.26    -99.99    -12.26      52.19      0.00
283      -11.48    -99.99    -11.48      52.97      0.00
284      -10.75    -99.99    -10.75      53.74      0.00
285      -10.07    -99.99    -10.07      54.52      0.00
286       -9.43    -99.99     -9.43      55.29      0.00
287       -8.82    -99.99     -8.82      56.05      0.00
288       -8.25    -99.99     -8.25      56.81      0.00
289       -7.70    -99.99     -7.70      57.57      0.00
290       -7.19    -99.99     -7.19      58.32      0.00
291       -6.69    -99.99     -6.69      59.06      0.00
292       -6.22    -99.99     -6.22      59.80      0.00
293       -5.77    -99.99     -5.77      60.54      0.00
294       -5.34    -99.99     -5.34      61.27      0.00
295       -4.92    -99.99     -4.92      61.99      0.00
296       -4.52    -99.99     -4.52      62.71      0.00
297       -4.14    -99.99     -4.14      63.42      0.00
298       -3.77    -99.99     -3.77      64.12      0.00
299       -3.41    -99.99     -3.41      64.82      0.00
300       -3.07    -99.99     -3.07      65.51      0.00
301       -2.74    -99.99     -2.74      66.19      0.00
302       -2.42    -99.99     -2.42      66.87      0.00
303       -2.11    -99.99     -2.11      67.53      0.00
304       -1.81    -99.99     -1.81      68.20      0.00
305       -1.52    -99.99     -1.52      68.85      0.00
306       -1.24    -99.99     -1.24      69.49      0.00
307       -0.97    -99.99     -0.97      70.13      0.00
308       -0.70    -99.99     -0.70      70.76      0.00
309       -0.45    -99.99     -0.45      71.38      0.00
310       -0.20    -99.99     -0.20      71.99      0.00
311        0.04    -99.99      0.04      72.59      0.00
312        0.27    -99.99      0.27      73.18      0.00
313        0.49    -99.99      0.49      73.76      0.00
314        0.71    -99.99      0.71      74.34      0.00
315        0.92    -99.99      0.92      74.90      0.00
316        1.13    -99.99      1.13      75.46      0.00
317        1.33    -99.99      1.33      76.00      0.00
318        1.52    -99.99      1.52      76.53      0.00
319        1.70    -99.99      1.70      77.06      0.00
320        1.88    -99.99      1.88      77.57      0.00
321        2.06    -99.99      2.06      78.07      0.00
322        2.23    -99.99      2.23      78.56      0.00
323        2.39    -99.99      2.39      79.05      0.00
324        2.55    -99.99      2.55      79.52      0.00
325        2.70    -99.99      2.70      79.97      0.00
326        2.85    -99.99      2.85      80.42      0.00
327        2.99    -99.99      2.99      80.86      0.00
328        3.12    -99.99      3.12      81.28      0.00
329        3.26    -99.99      3.26      81.70      0.00
330        3.38    -99.99      3.38      82.10      0.00
331        3.51    -99.99      3.51      82.49      0.00
332        3.62    -99.99      3.62      82.86      0.00
333        3.74    -99.99      3.74      83.23      0.00
334        3.84    -99.99      3.84      83.58      0.00
335        3.95    -99.99      3.95      83.92      0.00
336        4.05    -99.99      4.05      84.25      0.00
337        4.14    -99.99      4.14      84.56      0.00
338        4.23    -99.99      4.23      84.86      0.00
339        4.32    -99.99      4.32      85.15      0.00
340        4.40    -99.99      4.40      85.43      0.00
341        4.48    -99.99      4.48      85.69      0.00
342        4.55    -99.99      4.55      85.94      0.00
343        4.62    -99.99      4.62      86.18      0.00
344        4.69    -99.99      4.69      86.41      0.00
345        4.75    -99.99      4.75      86.62      0.00
346        4.81    -99.99      4.81      86.81      0.00
347        4.86    -99.99      4.86      87.00      0.00
348        4.91    -99.99      4.91      87.17      0.00
349        4.95    -99.99      4.95      87.33      0.00
350        4.99    -99.99      4.99      87.47      0.00
351        5.03    -99.99      5.03      87.60      0.00
352        5.06    -99.99      5.06      87.72      0.00
353        5.09    -99.99      5.09      87.82      0.00
354        5.12    -99.99      5.12      87.91      0.00
355        5.14    -99.99      5.14      87.99      0.00
356        5.16    -99.99      5.16      88.05      0.00
357        5.17    -99.99      5.17      88.10      0.00
358        5.18    -99.99      5.18      88.13      0.00
359        5.19    -99.99      5.19      88.15      0.00
360        5.19    -99.99      5.19      88.16      0.00

